n_estimators,criterion,max_features,max_depth,min_samples_split,bootstrap,random_state,accuracy_score,f1_score,recall_score
16,gini,,15,3,True,48,82.79553448539532,0.3010975357216815,0.4231664726426077
4,entropy,,2,3,True,42,78.82448896365398,0.2867445054945055,0.4860302677532014
5,gini,sqrt,13,4,True,93,79.49227710659123,0.2933427015633234,0.4860302677532014
3,gini,log2,5,2,False,26,67.2732833766631,0.277027027027027,0.7159487776484285
15,entropy,sqrt,13,2,True,42,80.12438191364633,0.30362564743704235,0.4947613504074505
8,entropy,log2,7,2,True,20,71.35647652546261,0.29240649792217605,0.6757857974388825
11,gini,sqrt,15,2,True,13,82.97904878421777,0.29838201302794704,0.41327124563445866
13,gini,,3,3,False,20,68.389662027833,0.27072797836057866,0.669965075669383
8,entropy,log2,6,2,True,72,69.7711168884131,0.2855421686746988,0.689755529685681
6,gini,,6,2,True,76,71.36667176428608,0.28997598280874737,0.6676367869615832
